0000000001,72ca7c15,cfee8415,c8c79b8d,0a92fefe,32,34,06,57,36,67,08,35,70,13,52,16,70,12,47,99,89114121,78962376,50768302,01353643,38782176,39508100,76694504,41704817,28395010,61846938,73625202,47079635,17892000,43240606,56842894
0000000002,b0d7c938,552aa935,ac618306,cc806f4d,60,58,54,88,40,20,96,51,48,67,29,03,85,44,06,35,35859393,65511244,28990280,56301520,59641579,52460960,31930565,31424943,25650647,36428941,70415591,83227222,05428108,09227133,56306189
0000000003,7e30e10d,50add177,75ed6100,787e82da,72,73,39,78,53,31,33,77,51,58,27,04,79,00,93,58,22022875,10653267,27538274,36186872,27750577,75014194,01685449,98540005,13019830,85483240,41111727,03646055,93621669,55498300,84899357
0000000004,d9b7fb04,58308240,b36c15ff,c2821222,95,06,55,18,98,64,64,10,84,31,30,85,76,57,24,86,29706339,93407941,80546037,39920485,04731218,96559807,48355630,93106178,55653724,88712438,61539879,94685175,40254728,87484181,93320078
0000000005,be0bc761,d48f6760,c9580367,a4af97f4,76,87,87,97,07,86,90,97,34,64,41,25,78,67,38,31,72169740,76936217,74778523,64665667,85900959,81188571,78677539,50680507,06502232,91240778,68754551,19924035,07274665,78300512,01865678
0000000006,32009442,afa24a95,5bacde1b,c07a756c,01,03,88,46,30,78,46,18,87,22,78,85,14,58,22,89,58307826,65819267,89575556,04702806,17892959,24333661,49953909,38033360,34607780,42055677,18801298,93084060,59564258,65961025,09758035
0000000007,4508ad71,728d0759,b0a39a2e,12a41503,60,55,88,10,19,57,25,49,00,34,65,53,12,24,19,49,05773229,17611475,64213017,24193946,18781708,24773263,53718267,52916279,91363189,78330073,73591234,35442790,90175519,38792188,24973886
0000000008,facf7791,53c153f7,8c2a93c4,c1f20dac,03,82,64,03,98,72,51,97,84,84,45,86,29,65,74,69,92755695,59511828,48216701,03201437,53345926,62929863,86721572,10176975,72415099,96254849,87894145,36178584,72973132,26856987,79552394
0000000009,23b549ab,c1802d95,69e7a2a2,85b1a0dd,65,85,37,23,02,40,89,49,21,76,72,97,86,59,83,90,60258674,29128434,81652772,41758730,74569024,65426851,36907564,23791863,57183544,60147723,26576325,15519449,87074485,36024410,10168251
0000000010,fd0180b9,b9bcdb60,b3628adb,b231f48e,82,44,34,33,90,59,31,08,12,75,91,65,00,32,15,60,99446842,82348538,71910626,50635421,36894850,05208207,74323414,37653029,86548148,05167721,93766308,32001687,50927792,86802713,81187997
0000000011,82144782,47596cce,16b19bce,819a11b0,98,47,61,92,49,08,41,11,33,14,46,33,36,31,59,91,15499946,56827100,51442161,55876409,30910579,82935478,82543232,36191541,76006436,89307552,13847977,76337812,39359384,30701708,06088571
0000000012,d9d610dd,aabb83ef,878fce3b,b799fa46,74,56,03,79,05,17,27,40,49,93,88,39,62,13,12,87,56339439,92547496,89119613,45244526,21468216,39738976,11301989,80883544,14626017,40129033,04677340,19286657,19779087,46310743,29778716
0000000013,d5c5a82c,81d01ed8,53a6b191,117bb21c,73,20,21,19,57,59,38,41,90,26,55,94,23,00,14,41,13606831,19877488,44514870,93850147,74224465,34287664,07259735,69675376,28863453,98137403,53462780,16203224,80565907,42433500,85132415
0000000014,92339cc2,ce933d07,4415c650,07ee95ab,25,62,07,13,73,77,02,44,30,03,22,70,27,27,47,20,05985164,90527353,57171986,35749816,36363224,41830892,37062941,20623149,25132391,65532009,44712434,03692705,56316100,52846478,58459166
0000000015,8195274e,d55e8bbb,7dc4fa38,9a67d55e,40,59,49,70,22,72,33,23,20,16,14,44,46,67,66,98,32451490,00507212,47649385,16915489,91985170,00860370,40241046,77600000,00661496,57820962,95755707,42893956,04725641,61352807,41817640
0000000016,5bd364cb,31eddde3,c44fddcc,4de5ddb9,74,64,34,95,03,82,38,37,08,24,18,04,33,18,87,97,43933990,28093062,96582901,98877043,92533391,90502576,15421936,22151402,63474137,21731599,73372236,60087420,48982621,14772832,25591719
0000000017,01230d88,24d840fb,c9f5f622,f4e4cece,49,60,41,90,89,59,98,98,24,85,33,28,46,87,17,20,48603395,02469921,33005517,49869107,71644438,29666061,65067517,39358565,95248047,93971124,73242949,22663045,20911290,88708449,56557439
